number of class;;number of Method;;NullNotAllowed;;number of detected pattern
74;;1012;;NullNotAllowed;;98
*;;*;;NullAllowed;;25
*;;*;;RestrictedParameterType;;2
*;;*;;LimitedParameterRange;;37
