class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 = staticinvoke <java.rmi.Naming: java.rmi.Naming$ParsedNamingURL parseURL(java.lang.String)>(r0);;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;rebind;;1;;public static void rebind(java.lang.String, java.rmi.Remote) throws java.rmi.RemoteException, java.net.MalformedURLException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 := @parameter1: java.rmi.Remote;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;list;;1;;public static java.lang.String[] list(java.lang.String) throws java.rmi.RemoteException, java.net.MalformedURLException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 = staticinvoke <java.rmi.Naming: java.rmi.Naming$ParsedNamingURL parseURL(java.lang.String)>(r0);;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;getRegistry;;1;;public static java.rmi.registry.Registry getRegistry(java.lang.String) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r1 = staticinvoke <java.rmi.registry.LocateRegistry: java.rmi.registry.Registry getRegistry(java.lang.String,int)>(r0, 1099);;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;getRegistry;;1;;public static java.rmi.registry.Registry getRegistry(java.lang.String, int) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter1: int;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;;getRegistry;;2;;public static java.rmi.registry.Registry getRegistry(java.lang.String, int, java.rmi.server.RMIClientSocketFactory) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;i0 := @parameter1: int;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;n0 = null;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;createRegistry;;2;;public static java.rmi.registry.Registry createRegistry(int, java.rmi.server.RMIClientSocketFactory, java.rmi.server.RMIServerSocketFactory) throws java.rmi.RemoteException;;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r0;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r1 := @parameter2: java.rmi.server.RMIServerSocketFactory;;NullAllowed pattern detected param is  :r0
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;$r2 = new sun.rmi.registry.RegistryImpl;;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.rmi.RemoteException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;1;;public void <init>(java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;specialinvoke r0.<java.lang.SecurityException: void <init>(java.lang.String)>(r1);;NullAllowed pattern detected param is  :r1
java.rmi.Naming;;<init>;;2;;public void <init>(java.lang.String, java.lang.String);;;;;;;;;;
java.rmi.Naming;; * ;; * ;;*;;r1;;1;;;;;;
java.rmi.Naming;;*;;*;;*;;*;;*;;NullAllowed for param;;r2 := @parameter1: java.lang.String;;NullAllowed pattern detected param is  :r1
