class name;;number of detected pattern
java.math.MathContext;;3
java.math.BitSieve;;1
java.math.BigInteger;;27
java.math.MutableBigInteger;;17
java.math.BigDecimal;;33
java.math.RoundingMode;;0
java.math.SignedMutableBigInteger;;2
