class name;;number of detected pattern
java.awt.print.PageFormat;;0
java.awt.print.Paper;;0
java.awt.image.FilteredImageSource;;7
java.awt.AWTEventMulticaster;;117
java.awt.dnd.DragSourceDropEvent;;3
java.awt.IllegalComponentStateException;;1
java.awt.event.MouseWheelEvent;;3
java.awt.font.ShapeGraphicAttribute;;5
java.awt.geom.Path2D;;5
java.awt.image.DataBufferUShort;;0
java.awt.image.SinglePixelPackedSampleModel;;10
java.awt.geom.RoundRectangle2D;;1
java.awt.image.PixelGrabber;;5
java.awt.image.BandedSampleModel;;12
java.awt.image.ShortLookupTable;;3
java.awt.print.PrinterAbortException;;1
java.awt.image.CropImageFilter;;4
java.awt.image.ReplicateScaleFilter;;2
java.awt.image.ConvolveOp;;5
java.awt.PageAttributes;;8
java.awt.GradientPaint;;17
java.awt.RenderingHints;;11
java.awt.datatransfer.MimeType;;9
java.awt.Button;;9
java.awt.geom.FlatteningPathIterator;;2
java.awt.event.KeyAdapter;;3
java.awt.Point;;0
java.awt.datatransfer.MimeTypeParseException;;1
java.awt.Robot;;2
java.awt.RadialGradientPaintContext;;11
java.awt.dnd.DragSourceContext;;9
java.awt.SequencedEvent;;0
java.awt.Component;;111
java.awt.Event;;5
java.awt.datatransfer.SystemFlavorMap;;16
java.awt.image.Kernel;;2
java.awt.geom.Arc2D;;1
java.awt.MultipleGradientPaint;;0
java.awt.image.ImageFilter;;6
java.awt.Dimension;;0
java.awt.event.KeyEvent;;3
java.awt.image.renderable.RenderableImageProducer;;8
java.awt.image.renderable.ParameterBlock;;9
java.awt.event.ActionEvent;;6
java.awt.datatransfer.DataFlavor;;15
java.awt.font.GraphicAttribute;;1
java.awt.image.DataBufferShort;;3
java.awt.dnd.DropTargetEvent;;0
java.awt.Panel;;1
java.awt.PrintJob;;0
java.awt.image.ByteLookupTable;;3
java.awt.geom.Rectangle2D;;2
java.awt.GradientPaintContext;;1
java.awt.image.DirectColorModel;;31
java.awt.image.MultiPixelPackedSampleModel;;8
java.awt.FlowLayout;;3
java.awt.geom.Point2D;;0
java.awt.BorderLayout;;10
java.awt.MenuBar;;4
java.awt.geom.CubicCurve2D;;9
java.awt.MultipleGradientPaintContext;;5
java.awt.font.NumericShaper;;7
java.awt.BufferCapabilities;;3
java.awt.Menu;;10
java.awt.TextField;;9
java.awt.font.TextHitInfo;;3
java.awt.image.DataBufferInt;;3
java.awt.AttributeValue;;1
java.awt.dnd.DragSourceAdapter;;6
java.awt.geom.IllegalPathStateException;;1
java.awt.event.NativeLibLoader;;0
java.awt.event.WindowAdapter;;10
java.awt.color.ICC_ProfileRGB;;1
java.awt.TexturePaintContext;;7
java.awt.datatransfer.FlavorEvent;;1
java.awt.font.TextLine;;28
java.awt.dnd.DropTargetContext;;4
java.awt.geom.RectangularShape;;1
java.awt.AWTEvent;;3
java.awt.geom.ArcIterator;;1
java.awt.im.InputContext;;4
java.awt.Container;;47
java.awt.image.LookupOp;;4
java.awt.color.ICC_ProfileGray;;1
