number of class;;number of Method;;NullNotAllowed;;number of detected pattern
166;;2394;;NullNotAllowed;;369
*;;*;;NullAllowed;;42
*;;*;;RestrictedParameterType;;15
*;;*;;RestrictedParameterType;;23
*;;*;;LimitedParameterRange;;41
*;;*;;LimitedParameterRange;;40
*;;*;;LimitedParameterRange;;40
*;;*;;LimitedParameterRange;;40
