number of class;;number of Method;;NullNotAllowed;;number of detected pattern
186;;1980;;NullNotAllowed;;147
*;;*;;NullAllowed;;7
*;;*;;RestrictedParameterType;;10
*;;*;;LimitedParameterRange;;25
