class name;;number of detected pattern
org.jhotdraw.draw.ChopTriangleConnector;;0
org.jhotdraw.draw.RectangleFigure;;6
org.jhotdraw.app.action.DuplicateAction;;0
org.jhotdraw.draw.action.ToolBarButtonFactory;;21
net.n3.nanoxml.XMLUtil;;14
org.jhotdraw.beans.AbstractBean;;0
org.jhotdraw.draw.BidirectionalConnectionTool;;7
org.jhotdraw.app.action.AbstractProjectAction;;2
org.jhotdraw.samples.pert.PertProject;;2
org.jhotdraw.samples.draw.DrawApplet;;0
org.jhotdraw.draw.DefaultDrawingEditor;;7
org.jhotdraw.app.OSXPaletteHandler;;10
org.jhotdraw.draw.LocatorLayouter;;3
org.jhotdraw.draw.AbstractDrawing;;8
org.jhotdraw.draw.RoundRectRadiusHandle;;2
org.jhotdraw.app.DefaultSDIApplication;;6
org.jhotdraw.draw.ElbowLiner;;1
org.jhotdraw.draw.FigureLayerComparator;;2
org.jhotdraw.app.action.ToggleToolBarAction;;1
org.jhotdraw.app.action.RedoAction;;2
net.n3.nanoxml.XMLParserFactory;;0
org.jhotdraw.draw.ConnectionHandle;;1
org.jhotdraw.geom.Bezier;;39
org.jhotdraw.samples.svg.SVGDrawing;;2
org.jhotdraw.draw.action.AttributeToggler;;0
org.jhotdraw.draw.LabelFigure;;2
org.jhotdraw.draw.action.AbstractSelectedAction;;1
org.jhotdraw.draw.action.GroupAction;;4
org.jhotdraw.draw.action.JPopupButton;;7
org.jhotdraw.draw.LineConnectionFigure;;11
org.jhotdraw.undo.CompositeEdit;;0
org.jhotdraw.samples.svg.figures.SVGEllipse;;2
org.jhotdraw.draw.action.MoveAction;;0
org.jhotdraw.draw.TextFigure;;5
org.jhotdraw.draw.BezierTool;;4
org.jhotdraw.draw.TriangleFigure;;6
org.jhotdraw.draw.AbstractAttributedCompositeFigure;;7
org.jhotdraw.xml.DefaultDOMFactory;;4
org.jhotdraw.util.Worker;;0
org.jhotdraw.draw.VerticalLayouter;;3
org.jhotdraw.samples.svg.action.SplitAction;;5
org.jhotdraw.draw.TransformEdit;;4
org.jhotdraw.draw.RotateHandle;;2
org.jhotdraw.draw.BezierNodeEdit;;2
org.jhotdraw.draw.action.GenericListener;;10
org.jhotdraw.draw.action.ColorChooserAction;;1
org.jhotdraw.draw.MoveHandle;;3
org.jhotdraw.draw.GridConstrainer;;3
org.jhotdraw.gui.event.SheetEvent;;0
org.jhotdraw.draw.LocatorConnector;;2
org.jhotdraw.draw.ChangeConnectionStartHandle;;0
org.jhotdraw.draw.action.AttributeAction;;0
org.jhotdraw.app.action.CloseAction;;1
org.jhotdraw.draw.Options;;0
org.jhotdraw.samples.net.figures.NodeFigure;;1
org.jhotdraw.draw.FloatingTextArea;;1
org.jhotdraw.draw.action.SwingWorker;;2
org.jhotdraw.samples.pert.figures.TaskFigure;;3
org.jhotdraw.draw.FigureSelectionEvent;;0
org.jhotdraw.draw.action.ColorAttributeIcon;;1
org.jhotdraw.samples.net.NetApplet;;0
org.jhotdraw.draw.AttributeChangeEdit;;0
org.jhotdraw.draw.DefaultDrawingViewBeanInfo;;0
org.jhotdraw.samples.pert.PertPanel;;2
org.jhotdraw.draw.action.StrokeIcon;;1
org.jhotdraw.samples.draw.DrawProject;;2
org.jhotdraw.draw.action.PickAttributesAction;;0
org.jhotdraw.draw.DefaultDrawingView;;14
org.jhotdraw.draw.RoundRectangleFigure;;9
org.jhotdraw.samples.svg.figures.SVGLine;;1
org.jhotdraw.draw.SelectAreaTracker;;4
nanoxml.XMLElement;;30
org.jhotdraw.xml.NanoXMLDOMInput;;0
org.jhotdraw.geom.DoubleStroke;;6
org.jhotdraw.io.ExtensionFileFilter;;4
org.jhotdraw.undo.UndoRedoManager;;1
org.jhotdraw.samples.svg.SVGPanel;;2
org.jhotdraw.draw.action.ColorIcon;;1
net.n3.nanoxml.NonValidator;;6
