class name;;Method name;;number of detected pattern
java.nio.file.Files;;newBufferedReader;;1
java.nio.file.Files;;newBufferedWriter;;1
java.nio.file.Files;;copy;;2
java.nio.file.Files;;copy;;1
java.nio.file.Files;;read;;1
java.nio.file.Files;;write;;2
java.nio.file.attribute.FileTime;;<init>;;1
java.nio.file.attribute.FileTime;;to;;1
java.nio.file.attribute.FileTime;;compareTo;;1
java.nio.file.DirectoryIteratorException;;readObject;;1
java.nio.file.FileTreeWalker;;<init>;;1
java.nio.file.FileTreeWalker;;walk;;2
java.nio.file.TempFileHelper;;generatePath;;1
java.nio.file.TempFileHelper;;create;;2
java.nio.file.FileSystems;;getFileSystem;;1
java.nio.file.FileSystems;;newFileSystem;;1
java.nio.file.FileSystems;;newFileSystem;;1
java.nio.file.LinkPermission;;checkName;;1
java.nio.file.Paths;;get;;1
java.nio.file.attribute.AclEntry;;newBuilder;;1
java.nio.file.attribute.AclEntry;;hash;;1
java.nio.file.attribute.PosixFilePermissions;;writeBits;;1
java.nio.file.attribute.PosixFilePermissions;;toString;;1
java.nio.file.attribute.PosixFilePermissions;;fromString;;1
