number of class;;number of Method;;NullNotAllowed;;number of detected pattern
26;;222;;NullNotAllowed;;7
*;;*;;NullAllowed;;7
*;;*;;RestrictedParameterType;;1
*;;*;;LimitedParameterRange;;2
