number of class;;number of Method;;NullNotAllowed;;number of detected pattern
2;;30;;NullNotAllowed;;13
*;;*;;NullAllowed;;74
*;;*;;RestrictedParameterType;;0
*;;*;;RestrictedParameterType;;13
*;;*;;RestrictedParameterType;;0
*;;*;;RestrictedParameterType;;12
*;;*;;RestrictedParameterType;;26
