class name;;number of detected pattern;;;
org.jhotdraw.draw.AbstractHandle;;0;;;
org.jhotdraw.app.action.OSXDropOnDockAction;;0;;;
org.jhotdraw.draw.TextAreaTool;;0;;;
org.jhotdraw.draw.RelativeLocator;;0;;;
org.jhotdraw.draw.ChangeConnectionHandle;;0;;;
org.jhotdraw.gui.JSheet;;0;;;
org.jhotdraw.app.DefaultAppletApplication;;0;;;
org.jhotdraw.samples.net.NetPanel;;0;;;
org.jhotdraw.draw.SetBoundsEdit;;0;;;
org.jhotdraw.samples.svg.PathTool;;0;;;
org.jhotdraw.draw.GroupFigure;;0;;;
org.jhotdraw.app.DefaultApplicationModel;;0;;;
org.jhotdraw.draw.SelectionTool;;0;;;
org.jhotdraw.draw.CreationTool;;0;;;
org.jhotdraw.draw.ArrowTip;;0;;;
org.jhotdraw.draw.DelegationSelectionTool;;0;;;
org.jhotdraw.draw.ChopTriangleConnector;;0;;;
org.jhotdraw.draw.RectangleFigure;;0;;;
org.jhotdraw.app.action.DuplicateAction;;0;;;
org.jhotdraw.draw.action.ToolBarButtonFactory;;0;;;
net.n3.nanoxml.XMLUtil;;0;;;
org.jhotdraw.beans.AbstractBean;;0;;;
org.jhotdraw.draw.BidirectionalConnectionTool;;0;;;
org.jhotdraw.app.action.AbstractProjectAction;;1;;;
org.jhotdraw.samples.pert.PertProject;;1;;;
org.jhotdraw.samples.draw.DrawApplet;;1;;;
org.jhotdraw.draw.DefaultDrawingEditor;;0;;;
org.jhotdraw.app.OSXPaletteHandler;;0;;;
org.jhotdraw.draw.LocatorLayouter;;0;;;
org.jhotdraw.draw.AbstractDrawing;;0;;;
org.jhotdraw.draw.RoundRectRadiusHandle;;0;;;
org.jhotdraw.app.DefaultSDIApplication;;0;;;
org.jhotdraw.draw.ElbowLiner;;0;;;
org.jhotdraw.draw.FigureLayerComparator;;0;;;
org.jhotdraw.app.action.ToggleToolBarAction;;0;;;
org.jhotdraw.app.action.RedoAction;;1;;;
net.n3.nanoxml.XMLParserFactory;;0;;;
org.jhotdraw.draw.ConnectionHandle;;0;;;
