class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r12 = r2.<java.net.NetworkInterface: java.net.InetAddress[] addrs>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;r3 = r2.<java.net.NetworkInterface: java.net.InetAddress[] addrs>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
java.net.InetSocketAddress;;<init>;;1;;public void <init>(java.lang.String, int)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r8;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
java.net.InetSocketAddress;;createUnresolved;;1;;public static java.net.InetSocketAddress createUnresolved(java.lang.String, int)
*;; * ;; * ;;*;;r0;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r7;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.net.InterfaceAddress;;equals;;1;;public boolean equals(java.lang.Object)
*;; * ;; * ;;*;;r1;;5
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r4 = r2.<java.net.InterfaceAddress: java.net.InetAddress address>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r6 = r2.<java.net.InterfaceAddress: java.net.InetAddress address>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r8 = r2.<java.net.InterfaceAddress: java.net.Inet4Address broadcast>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r10 = r2.<java.net.InterfaceAddress: java.net.Inet4Address broadcast>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$s1 = r2.<java.net.InterfaceAddress: short maskLength>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
java.net.SocketInputStream;;<init>;;1;;void <init>(java.net.AbstractPlainSocketImpl) throws java.io.IOException
*;; * ;; * ;;*;;r1;;2
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<java.net.AbstractPlainSocketImpl: java.io.FileDescriptor getFileDescriptor()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r1.<java.net.AbstractPlainSocketImpl: java.net.Socket getSocket()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.Socket;;<init>;;1;;public void <init>(java.net.Proxy)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r6;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
java.net.Socket;;connect;;1;;public void connect(java.net.SocketAddress, int) throws java.io.IOException
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r5;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
java.net.ServerSocket;;<init>;;1;;void <init>(java.net.SocketImpl)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.net.SocketImpl: void setServerSocket(java.net.ServerSocket)>(r0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.ServerSocket;;implAccept;;1;;protected final void implAccept(java.net.Socket) throws java.io.IOException
*;; * ;; * ;;*;;r1;;9
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r4 = r1.<java.net.Socket: java.net.SocketImpl impl>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.net.Socket: void setImpl()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r5 = r1.<java.net.Socket: java.net.SocketImpl impl>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r2 = r1.<java.net.Socket: java.net.SocketImpl impl>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.net.Socket: java.net.SocketImpl impl> = null;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.net.Socket: java.net.SocketImpl impl> = r2;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.net.Socket: java.net.SocketImpl impl> = r2;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.net.Socket: java.net.SocketImpl impl> = r2;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.net.Socket: void postAccept()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.SocketOutputStream;;<init>;;1;;void <init>(java.net.AbstractPlainSocketImpl) throws java.io.IOException
*;; * ;; * ;;*;;r1;;2
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<java.net.AbstractPlainSocketImpl: java.io.FileDescriptor getFileDescriptor()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r1.<java.net.AbstractPlainSocketImpl: java.net.Socket getSocket()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.PasswordAuthentication;;<init>;;1;;public void <init>(java.lang.String, char[])
*;; * ;; * ;;*;;r2;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r2.<java.lang.Object: java.lang.Object clone()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;parseURL;;2;;protected void parseURL(java.net.URL, java.lang.String, int, int)
*;; * ;; * ;;*;;r1;;8
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r5 = virtualinvoke r1.<java.net.URL: java.lang.String getUserInfo()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r6 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i2 = virtualinvoke r1.<java.net.URL: int getPort()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r7 = virtualinvoke r1.<java.net.URL: java.lang.String getPath()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r8 = virtualinvoke r1.<java.net.URL: java.lang.String getQuery()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r9 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r2;;16
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i3 = virtualinvoke r2.<java.lang.String: int indexOf(int)>(63);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r8 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>($i5, i1);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(0, i3);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c7 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c9 = virtualinvoke r2.<java.lang.String: char charAt(int)>($i8);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c11 = virtualinvoke r2.<java.lang.String: char charAt(int)>($i10);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c13 = virtualinvoke r2.<java.lang.String: char charAt(int)>($i12);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c15 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c17 = virtualinvoke r2.<java.lang.String: char charAt(int)>($i16);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i19 = virtualinvoke r2.<java.lang.String: int indexOf(int,int)>(47, i18);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i19 = virtualinvoke r2.<java.lang.String: int indexOf(int,int)>(63, i18);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r11 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(i18, i19);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c39 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r7 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(i0, i1);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r40 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(i0, i1);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r46 = virtualinvoke r2.<java.lang.String: java.lang.String substring(int,int)>(i0, i1);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;equals;;2;;protected boolean equals(java.net.URL, java.net.URL)
*;; * ;; * ;;*;;r1;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r2;;1
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r2.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;hashCode;;1;;protected int hashCode(java.net.URL)
*;; * ;; * ;;*;;r1;;6
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r7 = virtualinvoke r1.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i5 = virtualinvoke r1.<java.net.URL: int getPort()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i8 = virtualinvoke r1.<java.net.URL: int getPort()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r5 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;sameFile;;2;;protected boolean sameFile(java.net.URL, java.net.URL)
*;; * ;; * ;;*;;r1;;9
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r6 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r1.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r10 = virtualinvoke r1.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r11 = virtualinvoke r1.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.net.URL: int getPort()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r1.<java.net.URL: int getPort()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r13 = r1.<java.net.URL: java.net.URLStreamHandler handler>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;; * ;; * ;;*;;r2;;7
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r2.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r7 = virtualinvoke r2.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r9 = virtualinvoke r2.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r12 = virtualinvoke r2.<java.net.URL: java.lang.String getFile()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i4 = virtualinvoke r2.<java.net.URL: int getPort()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i5 = virtualinvoke r2.<java.net.URL: int getPort()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r14 = r2.<java.net.URL: java.net.URLStreamHandler handler>;;pattern detected param  r2 must not be null  because used in  FieldRef 
java.net.URLStreamHandler;;getHostAddress;;1;;protected synchronized java.net.InetAddress getHostAddress(java.net.URL)
*;; * ;; * ;;*;;r1;;5
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r4 = r1.<java.net.URL: java.net.InetAddress hostAddress>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r5 = r1.<java.net.URL: java.net.InetAddress hostAddress>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;FieldRef for param;;r1.<java.net.URL: java.net.InetAddress hostAddress> = $r6;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r10 = r1.<java.net.URL: java.net.InetAddress hostAddress>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.net.URLStreamHandler;;hostsEqual;;2;;protected boolean hostsEqual(java.net.URL, java.net.URL)
*;; * ;; * ;;*;;r1;;3
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r7 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r9 = virtualinvoke r1.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r2;;3
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r6 = virtualinvoke r2.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r2.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r10 = virtualinvoke r2.<java.net.URL: java.lang.String getHost()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;toExternalForm;;1;;protected java.lang.String toExternalForm(java.net.URL)
*;; * ;; * ;;*;;r1;;20
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r6 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r7 = virtualinvoke r1.<java.net.URL: java.lang.String getPath()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r8 = virtualinvoke r1.<java.net.URL: java.lang.String getPath()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r9 = virtualinvoke r1.<java.net.URL: java.lang.String getQuery()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r10 = virtualinvoke r1.<java.net.URL: java.lang.String getQuery()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r11 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r12 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r14 = virtualinvoke r1.<java.net.URL: java.lang.String getProtocol()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r17 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r18 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r20 = virtualinvoke r1.<java.net.URL: java.lang.String getAuthority()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r22 = virtualinvoke r1.<java.net.URL: java.lang.String getPath()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r23 = virtualinvoke r1.<java.net.URL: java.lang.String getPath()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r25 = virtualinvoke r1.<java.net.URL: java.lang.String getQuery()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r27 = virtualinvoke r1.<java.net.URL: java.lang.String getQuery()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r29 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r31 = virtualinvoke r1.<java.net.URL: java.lang.String getRef()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.net.URLStreamHandler;;setURL;;1;;protected void setURL(java.net.URL, java.lang.String, java.lang.String, int, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String)
*;; * ;; * ;;*;;r1;;3
